flag_iso3,colour,start_date,end_date,source_url,confidence
TWN,yellow,2015-10-01,2019-06-27,,high
THA,yellow,2015-04-21,2019-01-08,,high
VNM,yellow,2017-10-23,,,high
KHM,red,2014-03-24,,,high
COM,yellow,2015-10-01,2017-05-23,,medium
COM,red,2017-05-23,,,medium
VCT,yellow,2014-12-12,2017-05-23,,medium
VCT,red,2017-05-23,,,medium
TTO,yellow,2016-04-21,,,medium
KIR,yellow,2016-04-21,2020-12-17,,medium
SLE,yellow,2016-04-21,,,medium
LBR,yellow,2017-05-23,,,medium
TUV,yellow,2014-12-12,2018-07-04,,medium
CUW,yellow,2013-11-26,2017-02-24,,medium
SLB,yellow,2014-12-12,2017-02-24,,medium
ECU,yellow,2019-10-30,,,high
PAN,yellow,2019-12-17,,,medium
LKA,red,2014-10-14,2016-06-21,,high
GIN,red,2013-11-26,2016-10-20,,medium
PHL,yellow,2014-06-10,2015-04-21,,high
KOR,yellow,2013-11-26,2015-04-21,,high
